,underlying_symbol,quote_datetime,quote_date,quote_time,open,high,low,close,trade_volume,vwap,bid,ask,mid
0,MSFT,1/3/2017 10:30,1/3/2017,10:30:00,62.79,62.84,62.42,62.7,4678361,62.6543,62.69,62.7,62.695
1,MSFT,1/3/2017 11:30,1/3/2017,11:30:00,62.7,62.76,62.25,62.38,2674749,62.4188,62.37,62.38,62.375
2,MSFT,1/3/2017 12:30,1/3/2017,12:30:00,62.37,62.48,62.2535,62.37,1758058,62.3656,62.37,62.38,62.375
3,MSFT,1/3/2017 13:30,1/3/2017,13:30:00,62.375,62.42,62.285,62.37,1359954,62.3566,62.36,62.37,62.365
4,MSFT,1/3/2017 14:30,1/3/2017,14:30:00,62.37,62.395,62.21,62.22,1713371,62.2879,62.21,62.22,62.215
5,MSFT,1/3/2017 15:30,1/3/2017,15:30:00,62.22,62.29,62.14,62.1742,1876113,62.2091,62.17,62.18,62.175
6,MSFT,1/3/2017 16:00,1/3/2017,16:00:00,62.17,62.58,62.125,62.57,3568468,62.4036,62.56,62.57,62.565
7,MSFT,1/4/2017 10:30,1/4/2017,10:30:00,62.48,62.75,62.15,62.168,4129278,62.3866,62.16,62.17,62.165
8,MSFT,1/4/2017 11:30,1/4/2017,11:30:00,62.16,62.39,62.16,62.23,1871185,62.2893,62.23,62.24,62.235
9,MSFT,1/4/2017 12:30,1/4/2017,12:30:00,62.24,62.26,62.12,62.17,1955120,62.2099,62.16,62.17,62.165
10,MSFT,1/4/2017 13:30,1/4/2017,13:30:00,62.17,62.28,62.15,62.28,1612154,62.214,62.27,62.28,62.275
11,MSFT,1/4/2017 14:30,1/4/2017,14:30:00,62.2758,62.45,62.18,62.44,1947800,62.279,62.43,62.44,62.435
12,MSFT,1/4/2017 15:30,1/4/2017,15:30:00,62.435,62.5,62.32,62.3316,2128671,62.3968,62.33,62.34,62.335
13,MSFT,1/4/2017 16:00,1/4/2017,16:00:00,62.33,62.39,62.23,62.3,3214841,62.3069,62.28,62.3,62.29
14,MSFT,1/5/2017 10:30,1/5/2017,10:30:00,62.19,62.66,62.03,62.3,4594720,62.3681,62.29,62.3,62.295
15,MSFT,1/5/2017 11:30,1/5/2017,11:30:00,62.3,62.44,62.17,62.31,2549987,62.2871,62.3,62.31,62.305
16,MSFT,1/5/2017 12:30,1/5/2017,12:30:00,62.31,62.52,62.26,62.41,2551236,62.3994,62.4,62.41,62.405
17,MSFT,1/5/2017 13:30,1/5/2017,13:30:00,62.405,62.51,62.38,62.44,2193409,62.4527,62.44,62.45,62.445
18,MSFT,1/5/2017 14:30,1/5/2017,14:30:00,62.45,62.475,62.3,62.385,2248076,62.3877,62.38,62.39,62.385
19,MSFT,1/5/2017 15:30,1/5/2017,15:30:00,62.385,62.4,62.27,62.3735,2103132,62.3198,62.37,62.38,62.375
20,MSFT,1/5/2017 16:00,1/5/2017,16:00:00,62.375,62.43,62.29,62.3,2341543,62.3664,62.3,62.31,62.305
21,MSFT,1/6/2017 10:30,1/6/2017,10:30:00,62.3,62.69,62.04,62.52,4021548,62.4053,62.52,62.53,62.525
22,MSFT,1/6/2017 11:30,1/6/2017,11:30:00,62.52,62.73,62.41,62.71,2449562,62.5518,62.71,62.72,62.715
